Site,Habitat,Species,Count
2,MAT,Species 2,1
2,MAT,Species 17,1
2,MAT,Species 9,1
2,MAT,Species 3,1
2,MAT,Species 1,1
2,MAT,Species 25,1
2,MAT,Species 28,1
2,MAT,Species 22,1
2,MAT,Species 12,1
2,MAT,Species 10,1
2,MAT,Species 29,1
2,MAT,Species 13,1
2,MAT,Species 8,1
3,EDGE,Species 26,1
3,EDGE,Species 7,1
3,EDGE,Species 21,1
3,EDGE,Species 29,4
3,EDGE,Species 9,1
3,EDGE,Species 22,1
3,EDGE,Species 6,1
3,EDGE,Species 18,1
3,EDGE,Species 25,2
3,EDGE,Species 11,1
3,EDGE,Species 14,1
3,INT,Species 14,1
3,INT,Species 4,2
3,INT,Species 19,1
3,INT,Species 8,1
3,INT,Species 2,2
3,INT,Species 27,1
3,INT,Species 30,1
3,INT,Species 29,1
3,INT,species 28,3
3,INT,Species 11,1
3,INT,Species 13,2
3,INT,Species 9,1
3,INT,Species 15,2
3,INT,Species 5,3
3,INT,Species 26,1
3,INT,Species 21,1
3,INT,Species 22,1
3,MAT,Species 14,1
3,MAT,Species 25,5
3,MAT,Species 1,3
3,MAT,Species 22,1
3,MAT,Species 17,1
3,MAT,Species 9,4
3,MAT,Species 20,1
3,MAT,Species 10,1
3,MAT,Species 13,1
3,MAT,Species 11,1
3,MAT,Species 2,3
3,MAT,Species 6,1
3,MAT,Species 4,1
3,MAT,Species 15,1
3,MAT,Species 7,1
3,MAT,Species 28,1
3,MAT,Species 26,1
3,MAT,Species 24,1
3,MAT,Species 3,1
3,MAT,Species 23,3
3,MAT,Species 16,1
3,MAT,Species 8,1
4,EDGE,Species 20,2
4,EDGE,Species 13,1
4,EDGE,Species 6,2
4,EDGE,Species 18,1
4,EDGE,Species 3,2
4,EDGE,Species 4,1
4,EDGE,Species 26,2
4,EDGE,Species 23,1
4,EDGE,Species 5,1
4,EDGE,Species 17,2
4,EDGE,Species 24,1
4,EDGE,Species 30,1
4,EDGE,Species 15,1
4,EDGE,Species 12,3
4,EDGE,Species 8,3
4,EDGE,Species 11,2
4,EDGE,Species 22,1
4,INT,Species 10,1
4,INT,Species 6,1
4,INT,Species 5,1
4,INT,Species 17,1
4,INT,Species 18,1
4,INT,Species 15,1
4,INT,Species 26,1
4,INT,Species 16,1
4,INT,Species 25,1
4,INT,Species 12,1
4,INT,Species 7,1
4,INT,Species 2,1
4,INT,Species 20,1
4,INT,Species 3,2
4,MAT,Species 17,3
4,MAT,Species 21,2
4,MAT,Species 29,1
4,MAT,Species 16,3
4,MAT,Species 14,1
4,MAT,Species 28,1
4,MAT,Species 7,1
4,MAT,Species 13,1
4,MAT,Species 10,1
4,MAT,Species 2,1
4,MAT,Species 25,1
4,MAT,Species 15,5
4,MAT,Species 3,1
4,MAT,Species 23,1
4,MAT,Species 8,1
4,MAT,Species 12,1
4,MAT,Species 20,1
4,MAT,Species 18,1
5,EDGE,Species 20,1
5,EDGE,Species 13,3
5,EDGE,Species 5,4
5,EDGE,Species 18,3
5,EDGE,Species 14,1
5,EDGE,Species 6,1
5,EDGE,Species 3,1
5,EDGE,Species 19,3
5,EDGE,Species 21,1
5,EDGE,Species 9,3
5,EDGE,Species 28,1
5,EDGE,Species 22,2
5,EDGE,Species 25,2
5,EDGE,Species 16,2
5,EDGE,Species 24,1
5,EDGE,Species 10,5
5,INT,Species 3,2
5,INT,Species 26,3
5,INT,Species 11,1
5,INT,Species 22,2
5,INT,Species 13,2
5,INT,Species 21,1
5,INT,Species 9,1
5,INT,Species 24,1
5,INT,Species 14,1
5,INT,Species 16,1
5,INT,Species 6,1
5,INT,Species 27,1
5,INT,Species 18,1
5,INT,Species 17,2
5,INT,Species 29,2
5,MAT,Species 28,3
5,MAT,Species 11,3
5,MAT,Species 22,1
5,MAT,Species 27,1
5,MAT,Species 13,2
5,MAT,Species 20,3
5,MAT,Species 3,1
5,MAT,Species 29,1
5,MAT,Species 12,2
5,MAT,Species 2,1
5,MAT,Species 1,3
5,MAT,Species 23,4
5,MAT,Species 19,1
5,MAT,Species 14,1
5,MAT,Species 17,5
5,MAT,Species 8,1
5,MAT,Species 5,1
5,MAT,Species 16,1
5,MAT,Species 30,2
6,EDGE,Species 14,1
6,EDGE,Species 24,1
6,EDGE,Species 4,1
6,EDGE,Species 6,3
6,EDGE,Species 25,2
6,EDGE,Species 8,5
6,EDGE,Species 22,1
6,EDGE,Species 19,1
6,EDGE,Species 30,1
6,EDGE,Species 15,1
6,EDGE,Species 21,1
6,EDGE,Species 9,1
6,EDGE,Species 11,1
6,EDGE,Species 27,1
6,EDGE,Species 12,1
6,EDGE,Species 13,1
6,EDGE,Species 10,1
6,INT,Species 3,1
6,INT,Species 14,1
6,INT,Species 17,1
6,INT,Species 29,1
6,INT,Species 12,2
6,INT,Species 22,1
6,INT,Species 23,2
6,INT,Species 21,1
6,INT,Species 5,2
6,INT,Species 27,1
6,INT,Species 6,1
6,INT,Species 16,2
6,INT,Species 25,1
6,INT,Species 7,1
6,MAT,Species 24,1
6,MAT,Species 7,1
6,MAT,Species 26,1
6,MAT,Species 2,1
6,MAT,Species 8,2
6,MAT,Species 11,2
6,MAT,Species 18,1
6,MAT,Species 13,3
6,MAT,Species 29,5
6,MAT,Species 14,1
6,MAT,Species 25,4
6,MAT,Species 4,1
6,MAT,Species 3,1
6,MAT,Species 28,1
6,MAT,Species 16,1
6,MAT,Species 1,1
6,MAT,Species 10,2
6,MAT,Species 15,1
7,EDGE,Species 15,1
7,EDGE,Species 28,3
7,EDGE,Species 18,2
7,EDGE,Species 11,1
7,EDGE,Species 25,4
7,EDGE,Species 9,1
7,EDGE,Species 16,1
7,EDGE,Species 30,3
7,EDGE,Species 20,1
7,EDGE,Species 12,1
7,EDGE,Species 29,1
7,EDGE,Species 14,4
7,EDGE,Species 13,1
7,EDGE,Species 7,5
7,EDGE,Species 19,1
7,EDGE,Species 21,2
7,EDGE,Species 10,5
7,INT,Species 5,1
7,INT,Species 3,1
7,INT,Species 22,1
7,INT,Species 14,1
7,INT,Species 17,1
7,INT,Species 2,3
7,INT,Species 27,5
7,INT,Species 24,3
7,INT,Species 10,2
7,INT,Species 16,3
7,INT,Species 11,1
7,INT,Species 19,1
7,INT,Species 6,2
7,INT,Species 18,2
7,INT,Species 23,1
7,INT,Species 4,1
7,INT,Species 15,1
7,MAT,Species 9,1
7,MAT,Species 29,1
7,MAT,Species 14,1
7,MAT,Species 2,1
7,MAT,Species 28,2
7,MAT,Species 15,1
7,MAT,Species 22,2
7,MAT,Species 4,1
7,MAT,Species 11,2
7,MAT,Species 10,1
7,MAT,Species 7,1
7,MAT,Species 8,1
7,MAT,Species 3,1
7,MAT,Species 5,1
7,MAT,Species 12,2
7,MAT,Species 16,2
8,EDGE,Species 29,3
8,EDGE,Species 24,2
8,EDGE,Species 6,3
8,EDGE,Species 1,5
8,EDGE,Species 12,1
8,EDGE,Species 30,1
8,EDGE,Species 2,2
8,EDGE,Species 8,1
8,EDGE,Species 13,2
8,EDGE,Species 16,1
8,EDGE,Species 20,4
8,EDGE,Species 28,1
8,EDGE,Species 18,1
8,EDGE,Species 3,1
8,INT,Species 20,1
8,INT,Species 15,2
8,INT,Species 10,1
8,INT,Species 21,2
8,INT,Species 14,2
8,INT,Species 26,1
8,INT,Species 18,2
8,INT,Species 19,1
8,INT,Species 22,1
8,INT,Species 16,1
8,INT,Species 23,2
8,INT,Species 29,1
8,INT,Species 1,1
8,INT,Species 4,1
8,INT,Species 7,1
8,INT,Species 24,1
8,INT,Species 30,1
8,INT,Species 13,5
8,INT,Species 28,1
8,MAT,Species 19,3
8,MAT,Species 11,1
8,MAT,Species 3,1
8,MAT,Species 18,1
8,MAT,Species 29,1
8,MAT,Species 28,1
8,MAT,Species 24,1
8,MAT,Species 10,1
8,MAT,Species 22,1
8,MAT,Species 6,1
8,MAT,Species 5,1
8,MAT,Species 2,1
8,MAT,Species 20,3
9,EDGE,Species 11,1
9,EDGE,Species 7,1
9,EDGE,Species 23,3
9,EDGE,Species 9,1
9,EDGE,Species 3,2
9,EDGE,Species 8,3
9,EDGE,Species 25,3
9,EDGE,Species 17,1
9,EDGE,Species 28,1
9,EDGE,Species 14,1
9,EDGE,Species 18,1
9,EDGE,Species 6,1
9,EDGE,Species 16,2
9,EDGE,Species 15,1
9,EDGE,Species 19,2
9,EDGE,Species 2,1
9,EDGE,Species 24,2
9,EDGE,Species 10,5
9,INT,Species 12,1
9,INT,Species 15,1
9,INT,Species 3,2
9,INT,Species 24,1
9,INT,Species 20,1
9,INT,Species 2,1
9,INT,Species 11,2
9,INT,Species 7,1
9,INT,Species 27,1
9,INT,Species 22,1
9,INT,Species 5,1
9,INT,Species 21,1
9,INT,Species 8,5
9,INT,Species 28,2
9,INT,Species 18,2
9,INT,Species 25,2
9,INT,Species 19,3
9,INT,Species 13,1
9,MAT,Species 11,1
9,MAT,Species 19,1
9,MAT,Species 8,1
9,MAT,Species 20,1
9,MAT,Species 29,1
9,MAT,Species 16,1
9,MAT,Species 23,1
9,MAT,Species 21,1
9,MAT,Species 17,1
9,MAT,Species 9,3
9,MAT,Species 12,1
10,EDGE,Species 10,2
10,EDGE,Species 1,1
10,EDGE,Species 3,1
10,EDGE,Species 20,2
10,EDGE,Species 18,5
10,EDGE,Species 7,1
10,EDGE,Species 11,1
10,EDGE,Species 9,1
10,EDGE,Species 8,1
10,EDGE,Species 22,3
10,EDGE,Species 23,1
10,EDGE,Species 21,3
10,EDGE,Species 15,1
10,EDGE,Species 27,1
10,EDGE,Species 6,1
10,EDGE,Species 17,1
10,INT,Species 1,1
10,INT,Species 26,2
10,INT,Species 29,1
10,INT,Species 24,5
10,INT,Species 9,1
10,INT,Species 3,3
10,INT,Species 20,1
10,INT,Species 21,1
10,INT,Species 28,2
10,INT,Species 23,2
10,INT,Species 18,2
10,INT,Species 10,1
10,INT,Species 12,3
10,INT,Species 5,5
10,INT,Species 30,2
10,INT,Species 25,1
10,INT,Species 4,2
10,INT,Species 13,1
10,INT,Species 19,1
10,INT,Species 2,4
10,INT,Species 27,3
10,INT,Species 11,1
10,INT,Species 22,1
10,INT,Species 14,1
10,INT,Species 17,2
10,MAT,Species 10,1
10,MAT,Species 23,1
10,MAT,Species 24,1
10,MAT,Species 5,5
10,MAT,Species 17,1
10,MAT,Species 27,1
10,MAT,Species 25,1
10,MAT,Species 4,2
10,MAT,Species 22,1
10,MAT,Species 2,3
10,MAT,Species 19,1
10,MAT,Species 15,1
10,MAT,Species 26,4
10,MAT,Species 8,1
10,MAT,Species 20,3
10,MAT,Species 29,5
10,MAT,Species 3,2
11,EDGE,Species 29,3
11,EDGE,Species 15,1
11,EDGE,Species 8,1
11,EDGE,Species 2,1
11,EDGE,Species 10,1
11,EDGE,Species 28,1
11,EDGE,Species 3,1
11,EDGE,Species 25,1
11,EDGE,Species 14,1
11,EDGE,Species 20,1
11,EDGE,Species 21,4
11,EDGE,Species 16,1
11,EDGE,Species 6,3
11,EDGE,Species 24,1
11,EDGE,Species 17,1
11,INT,Species 3,1
11,INT,Species 13,2
11,INT,Species 1,1
11,INT,Species 14,1
11,INT,Species 15,2
11,INT,Species 18,1
11,INT,Species 10,1
11,INT,Species 16,1
11,INT,Species 11,1
11,INT,Species 6,3
11,INT,Species 28,1
11,INT,Species 21,1
11,INT,Species 29,3
11,INT,Species 17,1
11,INT,Species 2,1
11,INT,Species 7,1
11,INT,Species 26,1
11,INT,Species 24,1
11,INT,Species 5,1
11,INT,Species 30,1
11,MAT,Species 5,3
11,MAT,Species 30,1
11,MAT,Species 27,1
11,MAT,Species 10,1
11,MAT,Species 18,2
11,MAT,Species 2,1
11,MAT,Species 14,1
11,MAT,Species 20,1
11,MAT,Species 25,2
11,MAT,Species 6,1
11,MAT,Species 1,1
11,MAT,Species 22,1
11,MAT,Species 23,1
11,MAT,Species 13,1
11,MAT,Species 12,1
12,EDGE,Species 19,1
12,EDGE,Species 20,1
12,EDGE,Species 14,2
12,EDGE,Species 22,1
12,EDGE,Species 26,3
12,EDGE,Species 23,3
12,EDGE,Species 10,1
12,EDGE,Species 17,1
12,EDGE,Species 9,1
12,EDGE,Species 18,1
12,EDGE,Species 5,2
12,INT,Species 23,1
12,INT,Species 13,1
12,INT,Species 12,2
12,INT,Species 8,1
12,INT,Species 27,1
12,INT,Species 15,2
12,INT,Species 20,1
12,INT,Species 3,1
12,INT,Species 21,1
12,INT,Species 6,1
12,INT,Species 28,1
12,INT,Species 30,1
12,INT,Species 7,1
12,INT,Species 10,1
12,INT,Species 14,1
12,INT,Species 24,1
12,INT,Species 1,1
12,MAT,Species 11,1
12,MAT,Species 27,2
12,MAT,Species 8,2
12,MAT,Species 5,1
12,MAT,Species 22,1
12,MAT,Species 21,1
12,MAT,Species 13,1
12,MAT,Species 12,1
12,MAT,Species 19,2
12,MAT,Species 16,2
12,MAT,Species 3,1
12,MAT,Species 30,1
12,MAT,Species 15,1
12,MAT,Species 26,1
12,MAT,Species 9,1
13,EDGE,Species 9,1
13,EDGE,Species 5,1
13,EDGE,Species 29,2
13,EDGE,Species 7,1
13,EDGE,Species 2,2
13,EDGE,Species 8,1
13,EDGE,Species 28,1
13,EDGE,Species 27,3
13,EDGE,Species 23,1
13,EDGE,Species 19,1
13,EDGE,Species 13,1
13,EDGE,Species 25,2
13,EDGE,Species 3,1
13,EDGE,Species 12,2
13,EDGE,Species 11,2
13,EDGE,Species 1,1
13,EDGE,Species 30,1
13,INT,Species 26,1
13,INT,Species 18,2
13,INT,Species 28,1
13,INT,Species 13,1
13,INT,Species 11,1
13,INT,Species 27,1
13,INT,Species 30,1
13,INT,Species 10,1
13,MAT,Species 25,1
13,MAT,Species 23,1
13,MAT,Species 19,1
13,MAT,Species 6,1
13,MAT,Species 5,1
13,MAT,Species 20,1
13,MAT,Species 17,1
13,MAT,Species 8,1
13,MAT,Species 22,2
13,MAT,Species 2,1
13,MAT,Species 30,1
13,MAT,Species 26,2
13,MAT,Species 13,2
13,MAT,Species 11,3
13,MAT,Species 18,1
13,MAT,Species 3,1
13,MAT,Species 7,1
13,MAT,Species 24,1
14,EDGE,Species 21,2
14,EDGE,Species 23,1
14,EDGE,Species 13,1
14,EDGE,Species 18,4
14,EDGE,Species 11,1
14,EDGE,Species 19,3
14,EDGE,Species 14,1
14,EDGE,Species 6,1
14,EDGE,Species 24,2
14,EDGE,Species 2,1
14,EDGE,Species 28,3
14,EDGE,Species 1,2
14,EDGE,Species 27,1
14,EDGE,Species 12,1
14,EDGE,Species 29,1
14,EDGE,Species 30,1
14,EDGE,Species 15,1
14,EDGE,Species 7,1
14,EDGE,Species 22,1
14,EDGE,Species 10,1
14,EDGE,Species 20,1
14,INT,Species 5,1
14,INT,Species 2,1
14,INT,Species 23,1
14,INT,Species 21,1
14,INT,Species 22,1
14,INT,Species 9,1
14,INT,Species 28,1
14,INT,Species 7,1
14,INT,Species 30,2
14,INT,Species 11,2
14,INT,Species 8,1
14,INT,Species 13,1
14,INT,Species 25,1
14,INT,Species 24,1
14,INT,Species 12,1
14,INT,Species 16,1
14,INT,Species 27,3
14,MAT,Species 22,1
14,MAT,Species 2,1
14,MAT,Species 1,5
14,MAT,Species 30,1
14,MAT,Species 18,1
14,MAT,Species 24,1
14,MAT,Species 16,1
14,MAT,Species 28,5
14,MAT,Species 27,2
14,MAT,Species 29,1
14,MAT,Species 15,1
14,MAT,Species 8,2
14,MAT,Species 26,1
15,EDGE,Species 10,5
15,EDGE,Species 11,1
15,EDGE,Species 27,1
15,EDGE,Species 3,1
15,EDGE,Species 21,1
15,EDGE,Species 14,1
15,EDGE,Species 20,1
15,EDGE,Species 28,1
15,EDGE,Species 19,1
15,EDGE,Species 13,1
15,EDGE,Species 17,3
15,EDGE,Species 22,1
15,EDGE,Species 26,2
15,EDGE,Species 16,1
15,INT,Species 27,1
15,INT,Species 18,1
15,INT,Species 20,1
15,INT,Species 9,1
15,INT,Species 21,1
15,INT,Species 26,1
15,INT,Species 15,5
15,INT,Species 17,3
15,INT,Species 13,3
15,INT,Species 11,1
15,INT,Species 12,1
15,INT,Species 2,1
15,INT,Species 6,1
15,INT,Species 28,1
15,INT,Species 5,2
15,INT,Species 3,1
15,INT,Species 1,1
15,INT,Species 24,1
15,INT,Species 4,1
15,INT,Species 14,3
15,MAT,Species 8,1
15,MAT,Species 12,1
15,MAT,Species 25,5
15,MAT,Species 14,1
15,MAT,Species 18,3
15,MAT,Species 20,1
15,MAT,Species 26,2
15,MAT,Species 3,2
15,MAT,Species 17,1
15,MAT,Species 4,3
15,MAT,Species 2,1
15,MAT,Species 15,1
15,MAT,Species 21,5
15,MAT,Species 19,1
15,MAT,Species 10,1
15,MAT,Species 23,1
15,MAT,Species 24,1
15,MAT,Species 28,1
15,MAT,Species 11,2
15,MAT,Species 29,1
15,MAT,Species 9,2
15,MAT,Species 30,2
15,MAT,Species 13,1
16,EDGE,Species 2,2
16,EDGE,Species 15,1
16,EDGE,Species 3,1
16,EDGE,Species 11,1
16,EDGE,Species 14,1
16,EDGE,Species 22,1
16,EDGE,Species 24,1
16,EDGE,Species 9,1
16,EDGE,Species 30,1
16,EDGE,Species 23,1
16,EDGE,Species 27,1
16,INT,Species 14,1
16,INT,Species 27,1
16,INT,Species 15,2
16,INT,Species 25,2
16,INT,Species 22,1
16,INT,Species 4,1
16,INT,Species 23,1
16,INT,Species 13,1
16,INT,Species 5,1
16,INT,Species 10,2
16,INT,Species 1,1
16,INT,Species 9,1
16,INT,Species 26,1
16,INT,Species 12,1
16,INT,Species 29,1
16,INT,Species 18,1
16,INT,Species 19,5
16,INT,Species 6,2
16,INT,Species 3,5
16,MAT,Species 1,1
16,MAT,Species 15,1
16,MAT,Species 26,3
16,MAT,Species 9,1
16,MAT,Species 30,1
16,MAT,Species 28,1
16,MAT,Species 25,2
16,MAT,Species 5,1
16,MAT,Species 21,1
16,MAT,Species 6,1
16,MAT,Species 4,1
16,MAT,Species 3,1
16,MAT,Species 27,3
16,MAT,Species 18,3
16,MAT,Species 29,1
16,MAT,Species 23,1
16,MAT,Species 11,1
16,MAT,Species 12,2
16,MAT,Species 7,1
16,MAT,Species 20,1
16,MAT,Species 22,1
17,EDGE,Species 6,1
17,EDGE,Species 8,1
17,EDGE,Species 27,5
17,EDGE,Species 23,1
17,EDGE,Species 25,1
17,EDGE,Species 10,1
17,EDGE,Species 18,2
17,EDGE,Species 15,1
17,EDGE,Species 5,1
17,EDGE,Species 3,2
17,EDGE,Species 9,2
17,EDGE,Species 17,1
17,EDGE,Species 11,1
17,EDGE,Species 16,1
17,INT,Species 19,4
17,INT,Species 4,1
17,INT,Species 14,3
17,INT,Species 15,3
17,INT,Species 24,2
17,INT,Species 23,1
17,INT,Species 27,5
17,INT,Species 30,1
17,INT,Species 18,1
17,INT,Species 10,2
17,INT,Species 6,1
17,INT,Species 7,1
17,INT,Species 1,1
17,INT,Species 26,1
17,INT,Species 13,1
17,INT,Species 28,5
17,INT,Species 8,1
17,MAT,Species 3,1
17,MAT,Species 19,1
17,MAT,Species 23,2
17,MAT,Species 8,2
17,MAT,Species 21,1
17,MAT,Species 5,1
17,MAT,Species 16,1
17,MAT,Species 2,1
17,MAT,Species 11,1
17,MAT,Species 26,1
17,MAT,Species 14,2
17,MAT,Species 15,2
17,MAT,Species 28,1
18,EDGE,Species 28,1
18,EDGE,Species 30,1
18,EDGE,Species 19,1
18,EDGE,Species 24,1
18,EDGE,Species 6,1
18,EDGE,Species 9,2
18,EDGE,Species 5,1
18,EDGE,Species 7,1
18,EDGE,Species 10,2
18,EDGE,Species 17,1
18,EDGE,Species 1,5
18,EDGE,Species 26,1
18,EDGE,Species 11,4
18,EDGE,Species 22,1
18,EDGE,Species 4,3
18,INT,Species 16,2
18,INT,Species 14,2
18,INT,Species 5,1
18,INT,Species 24,1
18,INT,Species 23,1
18,INT,Species 12,1
18,INT,Species 27,3
18,INT,Species 9,1
18,INT,Species 13,1
18,INT,Species 3,4
18,INT,Species 18,1
18,INT,Species 30,1
18,INT,Species 29,2
18,INT,Species 10,1
18,INT,Species 7,1
18,INT,Species 25,1
18,INT,Species 15,3
18,INT,Species 26,1
18,MAT,Species 27,3
18,MAT,Species 1,1
18,MAT,Species 8,1
18,MAT,Species 15,5
18,MAT,Species 10,1
18,MAT,Species 11,3
18,MAT,Species 28,1
18,MAT,Species 24,2
18,MAT,Species 29,1
18,MAT,Species 21,1
18,MAT,Species 23,2
18,MAT,Species 14,1
18,MAT,Species 18,2
18,MAT,Species 17,1
18,MAT,Species 12,1
18,MAT,Species 7,1
18,MAT,Species 6,1
18,MAT,Species 25,2
18,MAT,Species 16,3
18,MAT,Species 19,1
18,MAT,Species 30,2
19,EDGE,Species 7,1
19,EDGE,Species 25,1
19,EDGE,Species 22,2
19,EDGE,Species 13,1
19,EDGE,Species 19,1
19,EDGE,Species 2,2
19,EDGE,Species 18,5
19,EDGE,Species 4,2
19,EDGE,Species 15,5
19,EDGE,Species 27,1
19,EDGE,Species 17,3
19,INT,Species 10,2
19,INT,Species 4,2
19,INT,Species 28,1
19,INT,Species 7,2
19,INT,Species 11,1
19,INT,Species 5,1
19,INT,Species 26,1
19,INT,Species 12,1
19,INT,Species 9,2
19,INT,Species 21,1
19,INT,Species 30,2
19,INT,Species 13,2
19,INT,Species 25,1
19,INT,Species 15,3
19,INT,Species 18,3
19,INT,Species 23,2
19,INT,Species 17,1
19,MAT,Species 15,4
19,MAT,Species 11,1
19,MAT,Species 2,1
19,MAT,Species 3,1
19,MAT,Species 16,1
19,MAT,Species 14,1
19,MAT,Species 30,1
19,MAT,Species 1,2
19,MAT,Species 20,1
19,MAT,Species 6,1
19,MAT,Species 10,2
19,MAT,Species 8,2
19,MAT,Species 29,1
19,MAT,Species 13,1
19,MAT,Species 23,1
19,MAT,Species 28,2
19,MAT,Species 24,4
20,EDGE,Species 30,1
20,EDGE,Species 1,2
20,EDGE,Species 29,1
20,EDGE,Species 18,2
20,EDGE,Species 22,1
20,EDGE,Species 24,1
20,EDGE,Species 23,1
20,EDGE,Species 13,1
20,EDGE,Species 6,1
20,EDGE,Species 2,1
20,EDGE,Species 11,1
20,EDGE,Species 17,1
20,EDGE,Species 27,2
20,EDGE,Species 26,3
20,EDGE,Species 16,1
20,EDGE,Species 9,1
20,EDGE,Species 7,1
20,EDGE,Species 25,1
20,EDGE,Species 14,1
20,INT,Species 7,2
20,INT,Species 6,1
20,INT,Species 13,1
20,INT,Species 24,2
20,INT,Species 4,1
20,INT,Species 15,1
20,INT,Species 26,1
20,INT,Species 11,2
20,INT,Species 19,1
20,INT,Species 29,3
20,INT,Species 28,2
20,INT,Species 8,1
20,INT,Species 18,1
20,INT,Species 9,1
20,INT,Species 30,1
20,INT,Species 10,1
20,INT,Species 12,1
20,INT,Species 1,4
20,INT,Species 2,1
20,MAT,Species 25,1
20,MAT,Species 17,1
20,MAT,Species 24,2
20,MAT,Species 4,1
20,MAT,Species 27,1
20,MAT,Species 3,1
20,MAT,Species 22,3
20,MAT,Species 9,1
20,MAT,Species 19,1
20,MAT,Species 30,2
20,MAT,Species 10,1
20,MAT,Species 29,1
20,MAT,Species 5,1
20,MAT,Species 12,3
20,MAT,Species 16,1
20,MAT,Species 20,3
20,MAT,Species 15,1
20,MAT,Species 21,3
20,MAT,Species 28,1
20,MAT,Species 23,1
